function_id,function_name,source_file,loc,has_for_loop,has_while_loop,has_nested_loops,num_loops,has_list_comp,has_dict_comp,has_generator,has_numpy,has_pandas,has_torch,has_tensorflow,has_sklearn,has_string_ops,num_function_calls,num_arithmetic_ops,cyclomatic_complexity,category,source_code
huggingface__transformers__benchmark__benchmark.py__summarize,summarize,huggingface/transformers:benchmark/benchmark.py,87,True,False,True,4,True,False,False,False,False,False,False,False,True,30,1,16,other,"def summarize(run_dir, metrics, expand_metrics=False):
    """"""Produce a summary for each optimum-benchmark launched job's output directory found in `run_dir`.

    Each summary's format is as follows (for `expand_metrics=False`):
    ```
    {
        ""model"": ""google/gemma-2b"",
        ""commit"": ""3cd6ed22e4d49219f300f5055e71e3929aba20d7"",
        ""config"": ""benchmark.input_shapes.batch_size=1,benchmark.input_shapes.sequence_length=5"",
        ""metrics"": {
            ""decode.latency.mean"": 1.624666809082031,
            ""per_token.latency.mean"": 0.012843788806628804,
            ""per_token.throughput.value"": 77.85864553330948
        }
    }
    ```
    """"""
    reports = glob.glob(os.path.join(run_dir, ""**/benchmark_report.json""), recursive=True)
    report_dirs = [str(Path(report).parent) for report in reports]

    summaries = []
    for report_dir in report_dirs:
        commit = re.search(r""/commit=([^/]+)"", report_dir).groups()[0]

        if not os.path.isfile(os.path.join(report_dir, ""benchmark.json"")):
            continue
        benchmark = Benchmark.from_json(os.path.join(report_dir, ""benchmark.json""))
        report = benchmark.report

        model = benchmark.config.backend[""model""]

        # This looks like `benchmark.input_shapes.batch_size=1,benchmark.input_shapes.sequence_length=5`.
        # (we rely on the usage of hydra's `${hydra.job.override_dirname}`.)
        benchmark_name = re.sub(f""backend.model={model},*"", """", report_dir)
        benchmark_name = str(Path(benchmark_name).parts[-1])
        if benchmark_name.startswith(""commit=""):
            benchmark_name = benchmark.config.name

        metrics_values = {}
        # post-processing of report: show a few selected/important metric
        for metric in metrics:
            keys = metric.split(""."")
            value = report.to_dict()
            current = metrics_values
            for key in keys:
                # Avoid KeyError when a user's specified metric has typo.
                # TODO: Give warnings.
                if key not in value:
                    continue
                value = value[key]

                if expand_metrics:
                    if isinstance(value, dict):
                        if key not in current:
                            current[key] = {}
                            current = current[key]
                    else:
                        current[key] = value

            if not expand_metrics:
                metrics_values[metric] = value

        # show some config information
        print(f""model: {model}"")
        print(f""commit: {commit}"")
        print(f""config: {benchmark_name}"")
        if len(metrics_values) > 0:
            print(""metrics:"")
            if expand_metrics:
                print(metrics_values)
            else:
                for metric, value in metrics_values.items():
                    print(f""  - {metric}: {value}"")
        print(""-"" * 80)

        summary = {
            ""model"": model,
            ""commit"": commit,
            ""config"": benchmark_name,
            ""metrics"": metrics_values,
        }
        summaries.append(summary)

        with open(os.path.join(report_dir, ""summary.json""), ""w"") as fp:
            json.dump(summary, fp, indent=4)

    return summaries"
huggingface__transformers__benchmark__benchmark.py__combine_summaries,combine_summaries,huggingface/transformers:benchmark/benchmark.py,47,True,False,False,1,False,False,False,False,False,False,False,False,True,5,0,6,other,"def combine_summaries(summaries):
    """"""Combine a list of summary obtained from the function `summarize`.

    The combined summary's format is as follows:
    ```
    ""google/gemma-2b"": {
        ""benchmark.input_shapes.batch_size=1,benchmark.input_shapes.sequence_length=5"": {
            ""3cd6ed22e4d49219f300f5055e71e3929aba20d7"": {
                ""metrics"": {""decode.latency.mean"": 1.624666809082031}
            },
            ""c97ee28b117c0abe8e08891f402065e4df6d72aa"": {
                ""metrics"": {""decode.latency.mean"": 1.6278163452148438}
            }
        },
        ""benchmark.input_shapes.batch_size=2,benchmark.input_shapes.sequence_length=5"": {
            ""3cd6ed22e4d49219f300f5055e71e3929aba20d7"": {
                ""metrics"": {""decode.latency.mean"": 1.6947791748046876}
            },
            ""c97ee28b117c0abe8e08891f402065e4df6d72aa"": {
                ""metrics"": {
                    ""decode.latency.mean"": 1.6980519409179688}
            }
        }
    }
    ```
    """"""
    combined = {}
    for summary in summaries:
        model = summary[""model""]
        config = summary[""config""]
        commit = summary[""commit""]

        if model not in combined:
            combined[model] = {}

        if config not in combined[model]:
            combined[model][config] = {}

        if commit not in combined[model][config]:
            combined[model][config][commit] = {""metrics"": summary[""metrics""]}

    with open(os.path.join(exp_run_dir, ""summary.json""), ""w"") as fp:
        json.dump(combined, fp, indent=4)

    print(json.dumps(combined, indent=4))

    return combined"
huggingface__transformers__benchmark__benchmarks_entrypoint.py__create_database_connection,create_database_connection,huggingface/transformers:benchmark/benchmarks_entrypoint.py,17,False,False,False,0,False,False,False,False,True,False,False,False,True,4,0,3,data_processing,"def create_database_connection():
    """"""
    Try to create a database connection. Returns None if connection fails.
    """"""
    if not PSYCOPG2_AVAILABLE:
        logger.warning(""psycopg2 not available - running in CSV-only mode"")
        return None

    try:
        import psycopg2

        conn = psycopg2.connect(""dbname=metrics"")
        logger.info(""Successfully connected to database"")
        return conn
    except Exception as e:
        logger.warning(f""Failed to connect to database: {e}. Running in CSV-only mode"")
        return None"
huggingface__transformers__benchmark__benchmarks_entrypoint.py__create_global_metrics_recorder,create_global_metrics_recorder,huggingface/transformers:benchmark/benchmarks_entrypoint.py,23,False,False,False,0,False,False,False,False,True,False,False,False,True,8,0,4,data_processing,"def create_global_metrics_recorder(
    repository: str, branch: str, commit_id: str, commit_msg: str, generate_csv: bool = False
) -> MetricsRecorder:
    """"""
    Create a global metrics recorder that will be used across all benchmarks.
    """"""
    connection = create_database_connection()
    recorder = MetricsRecorder(connection, logger, repository, branch, commit_id, commit_msg, generate_csv)

    # Log the storage mode
    storage_modes = []
    if connection is not None:
        storage_modes.append(""database"")
    if generate_csv:
        storage_modes.append(""CSV"")

    if not storage_modes:
        logger.warning(""Running benchmarks with NO data storage (no database connection, CSV disabled)"")
        logger.warning(""Use --csv flag to enable CSV output when database is unavailable"")
    else:
        logger.info(f""Running benchmarks with: {' + '.join(storage_modes)} storage"")

    return recorder"
huggingface__transformers__benchmark_v2__benchmark_scripts__continuous_batching_overall.py__run_and_parse_cb_example,run_and_parse_cb_example,huggingface/transformers:benchmark_v2/benchmark_scripts/continuous_batching_overall.py,20,False,False,False,0,False,False,False,False,False,False,False,False,True,11,2,3,other,"def run_and_parse_cb_example(args: str) -> dict:
    print(f""Benchmarking with args: {args}"")
    output = subprocess.run(
        [""python"", SCRIPT_LOCATION] + args.split() + COMMON_ARGS,
        stdout=subprocess.PIPE,
    )
    output = output.stdout.decode(""utf-8"")
    if ""generate_batch despite unexpected termination"" in output:
        return {""args"": args, **ERROR_OUTPUT}
    pattern = r""CB generation took: ([\d.]+) seconds for (\d+) tokens\. ([\d.]+)tok/s""
    match = re.search(pattern, output)
    if match is not None:
        return {
            ""args"": args,
            ""time_seconds"": float(match.group(1)),
            ""num_tokens"": int(match.group(2)),
            ""throughput_tok_per_sec"": float(match.group(3)),
        }
    else:
        return {""args"": args, **ERROR_OUTPUT}"
huggingface__transformers__benchmark_v2__framework__benchmark_config.py__is_fa2_or_kernel_available,is_fa2_or_kernel_available,huggingface/transformers:benchmark_v2/framework/benchmark_config.py,25,False,False,False,0,False,False,False,False,False,True,False,False,False,5,0,4,ml,"def is_fa2_or_kernel_available() -> bool:
    """"""Returns True if the flash_attn_2 or a fallback kernel is available""""""
    # Early return if flash_attn_2 is available
    if is_flash_attn_2_available():
        return True
    # Early return if kernels is not available
    if not is_kernels_available():
        logger.warning(
            ""flash_attention_2 is not available. kernels is not installed. Benchmarking flash_attention_2 will not ""
            ""be possible.""
        )
        return False
    # If kernels is available, try to get the flash_attn_2 kernel
    try:
        from kernels import get_kernel

        # TODO: Pass the 'version' kwarg to specify the binary version once kernels >= 0.12.0 is supported.
        get_kernel(""kernels-community/flash-attn2"")
    except Exception as _:
        logger.warning(
            ""flash_attention_2 is not available. kernels is installed, but the flash_attn kernel is not available.""
            ""Benchmarking flash_attention_2 will not be possible.""
        )
        return False
    return True"
huggingface__transformers__benchmark_v2__framework__benchmark_config.py__adapt_configs,adapt_configs,huggingface/transformers:benchmark_v2/framework/benchmark_config.py,36,True,False,True,2,False,False,True,False,False,True,False,False,False,6,0,5,ml,"def adapt_configs(
    configs: list[BenchmarkConfig],
    warmup_iterations: int | list[int] = 5,
    measurement_iterations: int | list[int] = 20,
    batch_size: int | list[int] = 1,
    sequence_length: int | list[int] = 128,
    num_tokens_to_generate: int | list[int] = 128,
    gpu_monitoring: bool | list[bool] = True,
) -> list[BenchmarkConfig]:
    parameters = (
        x if isinstance(x, list) else [x]
        for x in [
            warmup_iterations,
            measurement_iterations,
            batch_size,
            sequence_length,
            num_tokens_to_generate,
            gpu_monitoring,
        ]
    )
    iterator = itertools.product(*parameters)

    adapted_configs = []
    for warmup_iters, measurement_iters, bs, seqlen, ntok, monitor in iterator:
        for config in configs:
            config = config.to_dict()
            config[""warmup_iterations""] = warmup_iters
            config[""measurement_iterations""] = measurement_iters
            config[""batch_size""] = bs
            config[""sequence_length""] = seqlen
            config[""num_tokens_to_generate""] = ntok
            config[""gpu_monitoring""] = monitor
            # Remove the old name so it gets re-inferred with the updated values
            config.pop(""name"", None)
            adapted_configs.append(BenchmarkConfig.from_dict(config))
    return adapted_configs"
huggingface__transformers__benchmark_v2__framework__benchmark_config.py__get_config_by_level,get_config_by_level,huggingface/transformers:benchmark_v2/framework/benchmark_config.py,33,True,False,True,4,False,False,False,False,False,True,False,False,False,18,0,11,ml,"def get_config_by_level(level: int) -> list[BenchmarkConfig]:
    configs = []
    # Early return if level is greater than 3: we generate all combinations of configs, maybe even w/ all compile modes
    if level >= 3:
        for attn_implementation in BenchmarkConfig.all_attn_implementations:
            # Usually there is not much to gain by compiling with other modes, but we allow it for level 4
            compile_modes = BenchmarkConfig.all_compiled_modes if level >= 4 else [None, ""default""]
            for cm in compile_modes:
                compile_kwargs = {""mode"": cm} if cm is not None else None
                for kernelize_on in {False, KERNELIZATION_AVAILABLE}:
                    for cb_on in [False, True]:
                        configs.append(
                            BenchmarkConfig(
                                attn_implementation=attn_implementation,
                                compile_kwargs=compile_kwargs,
                                kernelize=kernelize_on,
                                continuous_batching=cb_on,
                            )
                        )
        return configs
    # Otherwise, we add the configs for the given level
    if level >= 0:
        configs.append(BenchmarkConfig(attn_implementation=""flex_attention"", compile_kwargs={}))
    if level >= 1:
        configs.append(BenchmarkConfig(attn_implementation=""flash_attention_2""))
        configs.append(BenchmarkConfig(attn_implementation=""eager"", compile_kwargs={}))
        configs.append(BenchmarkConfig(attn_implementation=""flash_attention_2"", continuous_batching=True))
    if level >= 2:
        configs.append(BenchmarkConfig(attn_implementation=""sdpa"", compile_kwargs={}))
        configs.append(BenchmarkConfig(attn_implementation=""flex_attention"", compile_kwargs={}, kernelize=True))
        configs.append(BenchmarkConfig(attn_implementation=""flash_attention_2"", kernelize=True))
        configs.append(BenchmarkConfig(attn_implementation=""sdpa"", continuous_batching=True))
    return configs"
huggingface__transformers__benchmark_v2__framework__benchmark_runner.py__flush_memory,flush_memory,huggingface/transformers:benchmark_v2/framework/benchmark_runner.py,28,False,False,False,0,False,False,False,False,False,True,False,False,False,18,0,9,ml,"def flush_memory(flush_compile: bool = True) -> None:
    """"""Flush GPU memory and run garbage collection. If the flush_compile flag is set, we also clear the everything
    related to compile cache.""""""
    gc.collect()
    # If needed, flush everything related to torch.compile
    if flush_compile:
        # Dynamo resets
        torch._dynamo.reset()
        torch._dynamo.reset_code_caches()
        if hasattr(torch._inductor, ""codecache""):
            # Clear FX graph cache
            if hasattr(torch._inductor.codecache, ""FxGraphCache""):
                torch._inductor.codecache.FxGraphCache.clear()
            # Clear PyCodeCache
            if hasattr(torch._inductor.codecache, ""PyCodeCache""):
                torch._inductor.codecache.PyCodeCache.cache_clear()
            # Clear TritonFuture cache (for async compilation)
            if hasattr(torch._inductor.codecache, ""TritonFuture""):
                if hasattr(torch._inductor.codecache.TritonFuture, ""_compile_cache""):
                    torch._inductor.codecache.TritonFuture._compile_cache.clear()
    # Clear device cache
    if torch.cuda.is_available():
        torch.cuda.empty_cache()
        torch.cuda.synchronize()
    elif is_torch_xpu_available():
        torch.xpu.empty_cache()
        torch.xpu.synchronize()
    gc.collect()"
huggingface__transformers__benchmark_v2__framework__data_classes.py__add_unit_to_duration,add_unit_to_duration,huggingface/transformers:benchmark_v2/framework/data_classes.py,16,True,False,False,1,False,False,False,True,False,False,False,False,True,2,5,7,data_processing,"def add_unit_to_duration(stats: dict[str, float]) -> dict[str, str]:
    for key in list(stats.keys()):
        value = stats[key]
        if value > 3600:
            stats[key] = f""{(value / 3600):.2f}hr""
        elif value > 60:
            stats[key] = f""{(value / 60):.2f}min""
        elif value > 1:
            stats[key] = f""{value:.2f}s""
        elif value > 1e-3:
            stats[key] = f""{(value * 1e3):.2f}ms""
        elif value > 1e-6:
            stats[key] = f""{(value * 1e6):.2f}us""
        else:
            stats[key] = f""{(value * 1e9):.2f}ns""
    return stats"
huggingface__transformers__benchmark_v2__framework__hardware_metrics.py__get_intel_xpu_stats,get_intel_xpu_stats,huggingface/transformers:benchmark_v2/framework/hardware_metrics.py,28,True,False,False,1,False,False,False,False,False,True,False,False,True,14,1,5,ml,"def get_intel_xpu_stats() -> tuple[int, float]:
    """"""Returns the utilization and memory used of an Intel XPU""""""
    # xpu-smi outputs CSV format: Timestamp, DeviceId, GPU Memory Utilization (%), GPU Memory Used (MiB)
    xpu_smi_output = subprocess.check_output([""xpu-smi"", ""dump"", ""-m"", ""5,18"", ""-n"", ""1""])
    lines = xpu_smi_output.decode(""utf-8"").strip().split(""\n"")

    # Parse all data lines (skip header) and collect stats from all cards
    xpu_stats = []
    for line in lines[1:]:
        data_line = line.split("","")
        if len(data_line) < 4:
            continue
        device_id = data_line[1].strip()
        utilization_str = data_line[2].strip()
        memory_used_str = data_line[3].strip()
        if utilization_str != ""N/A"" and memory_used_str != ""N/A"":
            utilization = int(float(utilization_str))
            memory_used_mib = float(memory_used_str)
            xpu_stats.append((device_id, utilization, memory_used_mib))

    if not xpu_stats:
        return 0, 0.0

    # Sort by utilization (descending) and pick the highest
    xpu_stats.sort(key=lambda x: x[1], reverse=True)
    device_id, utilization, memory_used_mib = xpu_stats[0]
    memory_used_gb = memory_used_mib / 1024
    return utilization, memory_used_gb"
huggingface__transformers__scripts__check_tokenizers.py__check_diff,check_diff,huggingface/transformers:scripts/check_tokenizers.py,21,False,False,False,0,False,False,False,False,False,False,False,False,True,10,0,4,ml,"def check_diff(
    spm_diff: list[int], tok_diff: list[int], slow: PreTrainedTokenizerBase, fast: PreTrainedTokenizerBase
) -> bool:
    if spm_diff == list(reversed(tok_diff)):
        # AAA -> AA+A vs A+AA case.
        return True
    elif len(spm_diff) == len(tok_diff) and fast.decode(spm_diff) == fast.decode(tok_diff):
        # Second order OK
        # Barrich -> Barr + ich vs Bar + rich
        return True
    spm_reencoded = slow.encode(slow.decode(spm_diff))
    tok_reencoded = fast.encode(fast.decode(spm_diff))
    if spm_reencoded != spm_diff and spm_reencoded == tok_reencoded:
        # Type 3 error.
        # Snehagatha ->
        #       Sne, h, aga, th, a
        #       Sne, ha, gat, ha
        # Encoding the wrong with sp does not even recover what spm gave us
        # It fits tokenizer however...
        return True
    return False"
huggingface__transformers__scripts__check_tokenizers.py__check_details,check_details,huggingface/transformers:scripts/check_tokenizers.py,61,True,False,True,4,True,False,True,False,False,False,False,False,True,31,18,18,ml,"def check_details(
    line: str, spm_ids: list[int], tok_ids: list[int], slow: PreTrainedTokenizerBase, fast: PreTrainedTokenizerBase
) -> bool:
    # Encoding can be the same with same result AAA -> A + AA vs AA + A
    # We can check that we use at least exactly the same number of tokens.
    for i, (spm_id, tok_id) in enumerate(zip(spm_ids, tok_ids)):
        if spm_id != tok_id:
            break
    first = i
    for i, (spm_id, tok_id) in enumerate(zip(reversed(spm_ids), reversed(tok_ids))):
        if spm_id != tok_id:
            break
    last = len(spm_ids) - i

    spm_diff = spm_ids[first:last]
    tok_diff = tok_ids[first:last]

    if check_diff(spm_diff, tok_diff, slow, fast):
        return True

    if check_LTR_mark(line, first, fast):
        return True

    if last - first > 5:
        # We might have twice a single problem, attempt to subdivide the disjointed tokens into smaller problems
        spms = Counter(spm_ids[first:last])
        toks = Counter(tok_ids[first:last])

        removable_tokens = {spm_ for (spm_, si) in spms.items() if toks.get(spm_, 0) == si}
        min_width = 3
        for i in range(last - first - min_width):
            if all(spm_ids[first + i + j] in removable_tokens for j in range(min_width)):
                possible_matches = [
                    k
                    for k in range(last - first - min_width)
                    if tok_ids[first + k : first + k + min_width] == spm_ids[first + i : first + i + min_width]
                ]
                for j in possible_matches:
                    if check_diff(
                        spm_ids[first : first + i], tok_ids[first : first + j], slow, fast
                    ) and check_details(
                        line,
                        spm_ids[first + i : last],
                        tok_ids[first + j : last],
                        slow,
                        fast,
                    ):
                        return True

    print(f""Spm: {[fast.decode([spm_ids[i]]) for i in range(first, last)]}"")
    try:
        print(f""Tok: {[fast.decode([tok_ids[i]]) for i in range(first, last)]}"")
    except Exception as e:
        print(f""Could not decode tok_ids: {e}"")

    fast.decode(spm_ids[:first])
    fast.decode(spm_ids[last:])
    wrong = fast.decode(spm_ids[first:last])
    print()
    print(wrong)
    return False"
