function_id,function_name,source_file,category,loc,has_for_loop,has_while_loop,has_nested_loops,has_list_comp,has_dict_comp,has_generator,has_numpy,has_pandas,has_torch,has_tensorflow,has_sklearn,has_string_ops,num_loops,num_function_calls,num_arithmetic_ops,cyclomatic_complexity,baseline_emissions_kg,optimized_emissions_kg,reduction_pct,optimizer_ran,error,source_code,optimized_source,cluster
huggingface__transformers__src__transformers__cli__add_fast_image_processor.py__get_fast_image_processing_content_header,get_fast_image_processing_content_header,huggingface/transformers:src/transformers/cli/add_fast_image_processor.py,other,34,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,3,3.511706857039825e-10,,,False,,"def get_fast_image_processing_content_header(content: str) -> str:
    """"""
    Get the header of the slow image processor file.
    """"""
    # get all the commented lines at the beginning of the file
    content_header = re.search(r""^# coding=utf-8\n(#[^\n]*\n)*"", content, re.MULTILINE)
    if not content_header:
        logger.warning(""Couldn't find the content header in the slow image processor file. Using a default header."")
        return (
            f""# coding=utf-8\n""
            f""# Copyright {CURRENT_YEAR} The HuggingFace Team. All rights reserved.\n""
            f""#\n""
            f'# Licensed under the Apache License, Version 2.0 (the ""License"");\n'
            f""# you may not use this file except in compliance with the License.\n""
            f""# You may obtain a copy of the License at\n""
            f""#\n""
            f""#     http://www.apache.org/licenses/LICENSE-2.0\n""
            f""#\n""
            f""# Unless required by applicable law or agreed to in writing, software\n""
            f'# distributed under the License is distributed on an ""AS IS"" BASIS,\n'
            f""# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n""
            f""# See the License for the specific language governing permissions and\n""
            f""# limitations under the License.\n""
            f""\n""
        )
    content_header = content_header.group(0)
    # replace the year in the copyright
    content_header = re.sub(r""# Copyright (\d+)\s"", f""# Copyright {CURRENT_YEAR} "", content_header)
    # get the line starting with """"""Image processor in content if it exists
    match = re.search(r'^""""""Image processor.*$', content, re.MULTILINE)
    if match:
        content_header += match.group(0).replace(""Image processor"", ""Fast Image processor"")

    return content_header",,0
huggingface__transformers__src__transformers__cli__add_fast_image_processor.py__write_default_fast_image_processor_file,write_default_fast_image_processor_file,huggingface/transformers:src/transformers/cli/add_fast_image_processor.py,other,29,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,2.5508474005619067e-10,,,False,,"def write_default_fast_image_processor_file(
    fast_image_processing_module_file: str, fast_image_processor_name: str, content_base_file: str
):
    """"""
    Write a default fast image processor file. Used when encountering a problem while parsing the slow image processor file.
    """"""
    imports = ""\n\nfrom ...image_processing_utils_fast import BaseImageProcessorFast\n\n\n""
    content_header = get_fast_image_processing_content_header(content_base_file)
    content_base_file = (
        f""class {fast_image_processor_name}(BaseImageProcessorFast):\n""
        ""    # To be implemented\n""
        ""    resample = None\n""
        ""    image_mean = None\n""
        ""    image_std = None\n""
        ""    size = None\n""
        ""    default_to_square = None\n""
        ""    crop_size = None\n""
        ""    do_resize = None\n""
        ""    do_center_crop = None\n""
        ""    do_rescale = None\n""
        ""    do_normalize = None\n""
        ""    do_convert_rgb = None\n\n\n""
        f'__all__ = [""{fast_image_processor_name}""]\n'
    )

    content = content_header + imports + content_base_file

    with open(fast_image_processing_module_file, ""w"", encoding=""utf-8"") as f:
        f.write(content)",,2
huggingface__transformers__src__transformers__cli__add_fast_image_processor.py__add_fast_image_processor_file,add_fast_image_processor_file,huggingface/transformers:src/transformers/cli/add_fast_image_processor.py,other,105,0,0,0,1,0,1,0,0,0,0,0,1,0,55,3,17,4.0514417877129746e-10,,,False,,"def add_fast_image_processor_file(
    fast_image_processing_module_file: str, fast_image_processor_name: str, content_base_file: str
):
    """"""
    Add the fast image processor file to the model's folder.
    """"""
    # if the file already exists, do nothing
    if os.path.exists(fast_image_processing_module_file):
        print(f""{fast_image_processing_module_file} already exists. Skipping."")
        return

    regex = rf""class {fast_image_processor_name[:-4]}.*?(\n\S|$)""
    match = re.search(regex, content_base_file, re.DOTALL)
    if not match:
        print(f""Couldn't find the {fast_image_processor_name[:-4]} class in {fast_image_processing_module_file}"")
        print(""Creating a new file with the default content."")
        return write_default_fast_image_processor_file(
            fast_image_processing_module_file, fast_image_processor_name, content_base_file
        )
    # Exclude the last unindented line
    slow_class_content = match.group(0).rstrip()
    # get default args:
    # find the __init__ block which start with def __init__ and ends with def
    match = re.search(r""def __init__.*?def "", slow_class_content, re.DOTALL)
    if not match:
        print(
            f""Couldn't find the __init__ block for {fast_image_processor_name[:-4]} in {fast_image_processing_module_file}""
        )
        print(""Creating a new file with the default content."")
        return write_default_fast_image_processor_file(
            fast_image_processing_module_file, fast_image_processor_name, content_base_file
        )
    init = match.group(0)
    init_signature_block = init.split("")"")[0]
    arg_names = init_signature_block.split("":"")
    arg_names = [arg_name.split(""\n"")[-1].strip() for arg_name in arg_names]
    # get the default values
    default_args = re.findall(r""= (.*?)(?:,|\))"", init_signature_block)

    # build default args dict
    default_args_dict = dict(zip(arg_names, default_args))
    pattern_default_size = r""size = size if size is not None else\s+(.*)""
    match_default_size = re.findall(pattern_default_size, init)
    default_args_dict[""size""] = match_default_size[0] if match_default_size else None
    pattern_default_crop_size = r""crop_size = crop_size if crop_size is not None else\s+(.*)""
    match_default_crop_size = re.findall(pattern_default_crop_size, init)
    default_args_dict[""crop_size""] = match_default_crop_size[0] if match_default_crop_size else None
    pattern_default_image_mean = r""self.image_mean = image_mean if image_mean is not None else\s+(.*)""
    match_default_image_mean = re.findall(pattern_default_image_mean, init)
    default_args_dict[""image_mean""] = match_default_image_mean[0] if match_default_image_mean else None
    pattern_default_image_std = r""self.image_std = image_std if image_std is not None else\s+(.*)""
    match_default_image_std = re.findall(pattern_default_image_std, init)
    default_args_dict[""image_std""] = match_default_image_std[0] if match_default_image_std else None
    default_args_dict[""default_to_square""] = False if ""(size, default_to_square=False"" in init else None

    content_header = get_fast_image_processing_content_header(content_base_file)
    content_base_file = (
        f""@auto_docstring\n""
        f""class {fast_image_processor_name}(BaseImageProcessorFast):\n""
        ""    # This generated class can be used as a starting point for the fast image processor.\n""
        ""    # if the image processor is only used for simple augmentations, such as resizing, center cropping, rescaling, or normalizing,\n""
        ""    # only the default values should be set in the class.\n""
        ""    # If the image processor requires more complex augmentations, methods from BaseImageProcessorFast can be overridden.\n""
        ""    # In most cases, only the `_preprocess` method should be overridden.\n\n""
        ""    # For an example of a fast image processor requiring more complex augmentations, see `LlavaNextImageProcessorFast`.\n\n""
        ""    # Default values should be checked against the slow image processor\n""
        ""    # None values left after checking can be removed\n""
        f""    resample = {default_args_dict.get('resample')}\n""
        f""    image_mean = {default_args_dict.get('image_mean')}\n""
        f""    image_std = {default_args_dict.get('image_std')}\n""
        f""    size = {default_args_dict.get('size')}\n""
        f""    default_to_square = {default_args_dict.get('default_to_square')}\n""
        f""    crop_size = {default_args_dict.get('crop_size')}\n""
        f""    do_resize = {default_args_dict.get('do_resize')}\n""
        f""    do_center_crop = {default_args_dict.get('do_center_crop')}\n""
        f""    do_rescale = {default_args_dict.get('do_rescale')}\n""
        f""    do_normalize = {default_args_dict.get('do_normalize')}\n""
        f""    do_convert_rgb = {default_args_dict.get('do_convert_rgb')}\n\n\n""
        f'__all__ = [""{fast_image_processor_name}""]\n'
    )

    imports = ""\n\nfrom ...image_processing_utils_fast import BaseImageProcessorFast\n""
    image_utils_imports = []
    if default_args_dict.get(""resample"") is not None and ""PILImageResampling"" in default_args_dict.get(""resample""):
        image_utils_imports.append(""PILImageResampling"")
    if default_args_dict.get(""image_mean"") is not None and not any(
        char.isdigit() for char in default_args_dict.get(""image_mean"")
    ):
        image_utils_imports.append(default_args_dict.get(""image_mean""))
    if default_args_dict.get(""image_std"") is not None and not any(
        char.isdigit() for char in default_args_dict.get(""image_std"")
    ):
        image_utils_imports.append(default_args_dict.get(""image_std""))

    if image_utils_imports:
        # sort imports
        image_utils_imports.sort()
        imports += f""from ...image_utils import {', '.join(image_utils_imports)}\n""

    imports += ""from ...utils import auto_docstring\n""

    content = content_header + imports + ""\n\n"" + content_base_file

    with open(fast_image_processing_module_file, ""w"", encoding=""utf-8"") as f:
        f.write(content)",,3
huggingface__transformers__src__transformers__cli__add_new_model_like.py__add_content_to_file,add_content_to_file,huggingface/transformers:src/transformers/cli/add_new_model_like.py,ml,20,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,2.9954571628477424e-10,,,False,,"def add_content_to_file(file_name: str | os.PathLike, new_content: str, add_after: str):
    """"""
    A utility to add some content inside a given file.

    Args:
        file_name (`str` or `os.PathLike`):
            The name of the file in which we want to insert some content.
        new_content (`str`):
            The content to add.
       add_after (`str`):
           The new content is added just after the first instance matching it.
    """"""
    with open(file_name, ""r"", encoding=""utf-8"") as f:
        old_content = f.read()

    before, after = old_content.split(add_after, 1)
    new_content = before + add_after + new_content + after

    with open(file_name, ""w"", encoding=""utf-8"") as f:
        f.write(new_content)",,2
huggingface__transformers__src__transformers__cli__add_new_model_like.py__insert_model_in_doc_toc,insert_model_in_doc_toc,huggingface/transformers:src/transformers/cli/add_new_model_like.py,ml,23,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,2,3.7011931895103767e-10,,,False,,"def insert_model_in_doc_toc(
    repo_path: Path, old_lowercase_name: str, new_lowercase_name: str, new_model_paper_name: str
):
    """"""
    Insert the new model in the doc `_toctree.yaml`, in the same section as the old model.

    Args:
        old_lowercase_name (`str`):
            The old lowercase model name.
        new_lowercase_name (`str`):
            The old lowercase model name.
        new_model_paper_name (`str`):
            The fully cased name (as in the official paper name) of the new model.
    """"""
    toc_file = repo_path / ""docs"" / ""source"" / ""en"" / ""_toctree.yml""
    with open(toc_file, ""r"") as f:
        content = f.read()

    old_model_toc = re.search(rf""- local: model_doc/{old_lowercase_name}\n {{8}}title: .*?\n"", content).group(0)
    new_toc = f""      - local: model_doc/{new_lowercase_name}\n        title: {new_model_paper_name}\n""
    add_content_to_file(
        repo_path / ""docs"" / ""source"" / ""en"" / ""_toctree.yml"", new_content=new_toc, add_after=old_model_toc
    )",,2
huggingface__transformers__src__transformers__cli__add_new_model_like.py__create_init_file,create_init_file,huggingface/transformers:src/transformers/cli/add_new_model_like.py,ml,36,0,0,0,1,0,1,0,0,0,0,0,1,0,4,1,3,2.977686640660977e-10,,,False,,"def create_init_file(old_lowercase_name: str, new_lowercase_name: str, filenames_to_add: list[tuple[str, bool]]):
    """"""
    Create the `__init__.py` file to add in the new model folder.

    Args:
        old_lowercase_name (`str`):
            The old lowercase model name.
        new_lowercase_name (`str`):
            The new lowercase model name.
        filenames_to_add (`list[tuple[str, bool]]`):
            A list of tuples of all potential filenames to add for a new model, along a boolean flag describing if we
            should add this file or not. For example, [(`modeling_xxx.px`, True), (`configuration_xxx.py`, True), (`tokenization_xxx.py`, False),...]
    """"""
    filenames_to_add = [
        (filename.replace(old_lowercase_name, new_lowercase_name).replace("".py"", """"), to_add)
        for filename, to_add in filenames_to_add
    ]
    imports = ""\n            "".join(f""from .{file} import *"" for file, to_add in filenames_to_add if to_add)
    init_file = COPYRIGHT + textwrap.dedent(
        f""""""
        from typing import TYPE_CHECKING

        from ...utils import _LazyModule
        from ...utils.import_utils import define_import_structure


        if TYPE_CHECKING:
            {imports}
        else:
            import sys

            _file = globals()[""__file__""]
            sys.modules[__name__] = _LazyModule(__name__, _file, define_import_structure(_file), module_spec=__spec__)
        """"""
    )
    return init_file",,0
huggingface__transformers__src__transformers__cli__add_new_model_like.py__find_all_classes_from_file,find_all_classes_from_file,huggingface/transformers:src/transformers/cli/add_new_model_like.py,ml,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3.707891097437824e-10,,,False,,"def find_all_classes_from_file(module_name: str) -> set:
    """"""
    Find the name of all classes defined in `module_name`, including public ones (defined in `__all__`).

    Args:
        module_name (`str`):
            The full path to the python module from which to extract classes.
    """"""
    with open(module_name, ""r"", encoding=""utf-8"") as file:
        source_code = file.read()
    module = cst.parse_module(source_code)
    visitor = ClassFinder()
    module.visit(visitor)
    return visitor.classes, visitor.public_classes",,2
huggingface__transformers__src__transformers__cli__chat.py__parse_generate_flags,parse_generate_flags,huggingface/transformers:src/transformers/cli/chat.py,ml,52,0,0,0,1,1,0,0,0,0,0,0,1,0,22,4,11,3.0689797068480406e-10,,,False,,"def parse_generate_flags(generate_flags: list[str] | None) -> dict:
    """"""Parses the generate flags from the user input into a dictionary of `generate` kwargs.""""""
    if generate_flags is None or len(generate_flags) == 0:
        return {}

    # Assumption: `generate_flags` is a list of strings, each string being a `flag=value` pair, that can be parsed
    # into a json string if we:
    # 1. Add quotes around each flag name
    generate_flags_as_dict = {'""' + flag.split(""="")[0] + '""': flag.split(""="")[1] for flag in generate_flags}

    # 2. Handle types:
    # 2. a. booleans should be lowercase, None should be null
    generate_flags_as_dict = {
        k: v.lower() if v.lower() in [""true"", ""false""] else v for k, v in generate_flags_as_dict.items()
    }
    generate_flags_as_dict = {k: ""null"" if v == ""None"" else v for k, v in generate_flags_as_dict.items()}

    # 2. b. strings should be quoted
    def is_number(s: str) -> bool:
        # handle negative numbers
        s = s.removeprefix(""-"")
        return s.replace(""."", """", 1).isdigit()

    generate_flags_as_dict = {k: f'""{v}""' if not is_number(v) else v for k, v in generate_flags_as_dict.items()}
    # 2. c. [no processing needed] lists are lists of ints because `generate` doesn't take lists of strings :)
    # We also mention in the help message that we only accept lists of ints for now.

    # 3. Join the result into a comma separated string
    generate_flags_string = "", "".join([f""{k}: {v}"" for k, v in generate_flags_as_dict.items()])

    # 4. Add the opening/closing brackets
    generate_flags_string = ""{"" + generate_flags_string + ""}""

    # 5. Remove quotes around boolean/null and around lists
    generate_flags_string = generate_flags_string.replace('""null""', ""null"")
    generate_flags_string = generate_flags_string.replace('""true""', ""true"")
    generate_flags_string = generate_flags_string.replace('""false""', ""false"")
    generate_flags_string = generate_flags_string.replace('""[', ""["")
    generate_flags_string = generate_flags_string.replace(']""', ""]"")

    # 6. Replace the `=` with `:`
    generate_flags_string = generate_flags_string.replace(""="", "":"")

    try:
        processed_generate_flags = json.loads(generate_flags_string)
    except json.JSONDecodeError:
        raise ValueError(
            ""Failed to convert `generate_flags` into a valid JSON object.""
            ""\n`generate_flags` = {generate_flags}""
            ""\nConverted JSON string = {generate_flags_string}""
        )
    return processed_generate_flags",,1
huggingface__transformers__src__transformers__cli__system.py__env,env,huggingface/transformers:src/transformers/cli/system.py,ml,88,0,0,0,1,0,0,0,0,1,0,0,1,0,26,0,17,8.499659530411e-10,9.32517447162536e-10,-9.712329514620478,True,,"def env(
    accelerate_config_file: Annotated[
        str | None,
        typer.Argument(help=""The accelerate config file to use for the default values in the launching script.""),
    ] = None,
) -> None:
    """"""Print information about the environment.""""""
    import safetensors

    safetensors_version = safetensors.__version__

    accelerate_version = ""not installed""
    accelerate_config = accelerate_config_str = ""not found""

    if is_accelerate_available():
        import accelerate
        from accelerate.commands.config import default_config_file, load_config_from_file

        accelerate_version = accelerate.__version__
        # Get the default from the config file.
        if accelerate_config_file is not None or os.path.isfile(default_config_file):
            accelerate_config = load_config_from_file(accelerate_config_file).to_dict()

        accelerate_config_str = (
            ""\n"".join([f""\t- {prop}: {val}"" for prop, val in accelerate_config.items()])
            if isinstance(accelerate_config, dict)
            else f""\t{accelerate_config}""
        )

    pt_version = ""not installed""
    pt_cuda_available = ""NA""
    pt_accelerator = ""NA""
    if is_torch_available():
        import torch

        pt_version = torch.__version__
        pt_cuda_available = torch.cuda.is_available()
        pt_xpu_available = is_torch_xpu_available()
        pt_npu_available = is_torch_npu_available()
        pt_hpu_available = is_torch_hpu_available()

        if pt_cuda_available:
            pt_accelerator = ""CUDA""
        elif pt_xpu_available:
            pt_accelerator = ""XPU""
        elif pt_npu_available:
            pt_accelerator = ""NPU""
        elif pt_hpu_available:
            pt_accelerator = ""HPU""

    deepspeed_version = ""not installed""
    if is_deepspeed_available():
        # Redirect command line output to silence deepspeed import output.
        with contextlib.redirect_stdout(io.StringIO()):
            import deepspeed
        deepspeed_version = deepspeed.__version__

    info = {
        ""`transformers` version"": __version__,
        ""Platform"": platform.platform(),
        ""Python version"": platform.python_version(),
        ""Huggingface_hub version"": huggingface_hub.__version__,
        ""Safetensors version"": f""{safetensors_version}"",
        ""Accelerate version"": f""{accelerate_version}"",
        ""Accelerate config"": f""{accelerate_config_str}"",
        ""DeepSpeed version"": f""{deepspeed_version}"",
        ""PyTorch version (accelerator?)"": f""{pt_version} ({pt_accelerator})"",
        ""Using distributed or parallel set-up in script?"": ""<fill in>"",
    }
    if is_torch_available():
        if pt_cuda_available:
            info[""Using GPU in script?""] = ""<fill in>""
            info[""GPU type""] = torch.cuda.get_device_name()
        elif pt_xpu_available:
            info[""Using XPU in script?""] = ""<fill in>""
            info[""XPU type""] = torch.xpu.get_device_name()
        elif pt_hpu_available:
            info[""Using HPU in script?""] = ""<fill in>""
            info[""HPU type""] = torch.hpu.get_device_name()
        elif pt_npu_available:
            info[""Using NPU in script?""] = ""<fill in>""
            info[""NPU type""] = torch.npu.get_device_name()
            info[""CANN version""] = torch.version.cann

    print(""\nCopy-and-paste the text below in your GitHub issue and FILL OUT the two last points.\n"")
    print(_format_dict(info))

    return info","def env(
    accelerate_config_file: Annotated[
        str | None,
        typer.Argument(help=""The accelerate config file to use for the default values in the launching script.""),
    ] = None,
) -> None:
    """"""Print information about the environment.""""""
    import safetensors

    safetensors_version = safetensors.__version__

    accelerate_version = ""not installed""
    accelerate_config = accelerate_config_str = ""not found""

    if is_accelerate_available():
        import accelerate
        from accelerate.commands.config import default_config_file, load_config_from_file

        accelerate_version = accelerate.__version__
        # Get the default from the config file.
        if accelerate_config_file is not None or os.path.isfile(default_config_file):
            accelerate_config = load_config_from_file(accelerate_config_file).to_dict()

        accelerate_config_str = (
            ""\n"".join([f""\t- {prop}: {val}"" for prop, val in accelerate_config.items()])
            if isinstance(accelerate_config, dict)
            else f""\t{accelerate_config}""
        )

    pt_version = ""not installed""
    pt_cuda_available = ""NA""
    pt_accelerator = ""NA""
    if is_torch_available():
        import torch

        pt_version = torch.__version__
        pt_cuda_available = torch.cuda.is_available()
        pt_xpu_available = is_torch_xpu_available()
        pt_npu_available = is_torch_npu_available()
        pt_hpu_available = is_torch_hpu_available()

        if pt_cuda_available:
            pt_accelerator = ""CUDA""
        elif pt_xpu_available:
            pt_accelerator = ""XPU""
        elif pt_npu_available:
            pt_accelerator = ""NPU""
        elif pt_hpu_available:
            pt_accelerator = ""HPU""

    deepspeed_version = ""not installed""
    if is_deepspeed_available():
        # Redirect command line output to silence deepspeed import output.
        with contextlib.redirect_stdout(io.StringIO()):
            import deepspeed
        deepspeed_version = deepspeed.__version__

    info = {
        ""`transformers` version"": __version__,
        ""Platform"": platform.platform(),
        ""Python version"": platform.python_version(),
        ""Huggingface_hub version"": huggingface_hub.__version__,
        ""Safetensors version"": f""{safetensors_version}"",
        ""Accelerate version"": f""{accelerate_version}"",
        ""Accelerate config"": f""{accelerate_config_str}"",
        ""DeepSpeed version"": f""{deepspeed_version}"",
        ""PyTorch version (accelerator?)"": f""{pt_version} ({pt_accelerator})"",
        ""Using distributed or parallel set-up in script?"": ""<fill in>"",
    }
    if is_torch_available():
        if pt_cuda_available:
            info[""Using GPU in script?""] = ""<fill in>""
            info[""GPU type""] = torch.cuda.get_device_name()
        elif pt_xpu_available:
            info[""Using XPU in script?""] = ""<fill in>""
            info[""XPU type""] = torch.xpu.get_device_name()
        elif pt_hpu_available:
            info[""Using HPU in script?""] = ""<fill in>""
            info[""HPU type""] = torch.hpu.get_device_name()
        elif pt_npu_available:
            info[""Using NPU in script?""] = ""<fill in>""
            info[""NPU type""] = torch.npu.get_device_name()
            info[""CANN version""] = torch.version.cann

    print(""\nCopy-and-paste the text below in your GitHub issue and FILL OUT the two last points.\n"")
    print(_format_dict(info))

    return info",3
huggingface__transformers__src__transformers__convert_slow_tokenizers_checkpoints_to_fast.py__convert_slow_checkpoint_to_fast,convert_slow_checkpoint_to_fast,huggingface/transformers:src/transformers/convert_slow_tokenizers_checkpoints_to_fast.py,ml,71,1,0,1,0,0,0,0,0,0,0,0,1,3,32,1,13,3.1520310647611035e-10,,,False,,"def convert_slow_checkpoint_to_fast(tokenizer_name, checkpoint_name, dump_path, force_download):
    if tokenizer_name is not None and tokenizer_name not in TOKENIZER_CLASSES:
        raise ValueError(f""Unrecognized tokenizer name, should be one of {list(TOKENIZER_CLASSES.keys())}."")

    if tokenizer_name is None:
        tokenizer_names = TOKENIZER_CLASSES
    else:
        tokenizer_names = {tokenizer_name: getattr(transformers, tokenizer_name + ""Fast"")}

    logger.info(f""Loading tokenizer classes: {tokenizer_names}"")

    for tokenizer_name in tokenizer_names:
        tokenizer_class = TOKENIZER_CLASSES[tokenizer_name]

        add_prefix = True
        if checkpoint_name is None:
            checkpoint_names = list(tokenizer_class.max_model_input_sizes.keys())
        else:
            checkpoint_names = [checkpoint_name]

        logger.info(f""For tokenizer {tokenizer_class.__class__.__name__} loading checkpoints: {checkpoint_names}"")

        for checkpoint in checkpoint_names:
            logger.info(f""Loading {tokenizer_class.__class__.__name__} {checkpoint}"")

            # Load tokenizer
            tokenizer = tokenizer_class.from_pretrained(checkpoint, force_download=force_download)

            # Save fast tokenizer
            logger.info(f""Save fast tokenizer to {dump_path} with prefix {checkpoint} add_prefix {add_prefix}"")

            # For organization names we create sub-directories
            if ""/"" in checkpoint:
                checkpoint_directory, checkpoint_prefix_name = checkpoint.split(""/"")
                dump_path_full = os.path.join(dump_path, checkpoint_directory)

                # Security check
                try:
                    Path(dump_path_full).resolve().relative_to(Path(dump_path).resolve())
                except ValueError:
                    raise ValueError(
                        f""Invalid checkpoint path: '{checkpoint}' attempts to escape `dump_path`: {dump_path}""
                    )

            elif add_prefix:
                checkpoint_prefix_name = checkpoint
                dump_path_full = dump_path
            else:
                checkpoint_prefix_name = None
                dump_path_full = dump_path

            logger.info(f""=> {dump_path_full} with prefix {checkpoint_prefix_name}, add_prefix {add_prefix}"")

            if checkpoint in list(tokenizer.pretrained_vocab_files_map.values())[0]:
                file_path = list(tokenizer.pretrained_vocab_files_map.values())[0][checkpoint]
                next_char = file_path.split(checkpoint)[-1][0]
                if next_char == ""/"":
                    dump_path_full = os.path.join(dump_path_full, checkpoint_prefix_name)
                    checkpoint_prefix_name = None

                logger.info(f""=> {dump_path_full} with prefix {checkpoint_prefix_name}, add_prefix {add_prefix}"")

            file_names = tokenizer.save_pretrained(
                dump_path_full, legacy_format=False, filename_prefix=checkpoint_prefix_name
            )
            logger.info(f""=> File names {file_names}"")

            for file_name in file_names:
                if not file_name.endswith(""tokenizer.json""):
                    os.remove(file_name)
                    logger.info(f""=> removing {file_name}"")",,1
huggingface__transformers__src__transformers__data__metrics____init__.py__glue_compute_metrics,glue_compute_metrics,huggingface/transformers:src/transformers/data/metrics/__init__.py,ml,28,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,13,3.517116080154665e-10,,,False,,"def glue_compute_metrics(task_name, preds, labels):
    warnings.warn(DEPRECATION_WARNING, FutureWarning)
    requires_backends(glue_compute_metrics, ""sklearn"")
    assert len(preds) == len(labels), f""Predictions and labels have mismatched lengths {len(preds)} and {len(labels)}""
    if task_name == ""cola"":
        return {""mcc"": matthews_corrcoef(labels, preds)}
    elif task_name == ""sst-2"":
        return {""acc"": simple_accuracy(preds, labels)}
    elif task_name == ""mrpc"":
        return acc_and_f1(preds, labels)
    elif task_name == ""sts-b"":
        return pearson_and_spearman(preds, labels)
    elif task_name == ""qqp"":
        return acc_and_f1(preds, labels)
    elif task_name == ""mnli"":
        return {""mnli/acc"": simple_accuracy(preds, labels)}
    elif task_name == ""mnli-mm"":
        return {""mnli-mm/acc"": simple_accuracy(preds, labels)}
    elif task_name == ""qnli"":
        return {""acc"": simple_accuracy(preds, labels)}
    elif task_name == ""rte"":
        return {""acc"": simple_accuracy(preds, labels)}
    elif task_name == ""wnli"":
        return {""acc"": simple_accuracy(preds, labels)}
    elif task_name == ""hans"":
        return {""acc"": simple_accuracy(preds, labels)}
    else:
        raise KeyError(task_name)",,0
huggingface__transformers__src__transformers__data__metrics__squad_metrics.py__compute_f1,compute_f1,huggingface/transformers:src/transformers/data/metrics/squad_metrics.py,other,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,3.503229378111428e-10,,,False,,"def compute_f1(a_gold, a_pred):
    gold_toks = get_tokens(a_gold)
    pred_toks = get_tokens(a_pred)
    common = collections.Counter(gold_toks) & collections.Counter(pred_toks)
    num_same = sum(common.values())
    if len(gold_toks) == 0 or len(pred_toks) == 0:
        # If either is no-answer, then F1 is 1 if they agree, 0 otherwise
        return int(gold_toks == pred_toks)
    if num_same == 0:
        return 0
    precision = 1.0 * num_same / len(pred_toks)
    recall = 1.0 * num_same / len(gold_toks)
    f1 = (2 * precision * recall) / (precision + recall)
    return f1",,2
huggingface__transformers__src__transformers__data__metrics__squad_metrics.py__get_raw_scores,get_raw_scores,huggingface/transformers:src/transformers/data/metrics/squad_metrics.py,other,24,1,0,0,1,0,1,0,0,0,0,0,1,1,6,0,7,3.5547762968635647e-10,,,False,,"def get_raw_scores(examples, preds):
    """"""
    Computes the exact and f1 scores from the examples and the model predictions
    """"""
    exact_scores = {}
    f1_scores = {}

    for example in examples:
        qas_id = example.qas_id
        gold_answers = [answer[""text""] for answer in example.answers if normalize_answer(answer[""text""])]

        if not gold_answers:
            # For unanswerable questions, only correct answer is empty string
            gold_answers = [""""]

        if qas_id not in preds:
            print(f""Missing prediction for {qas_id}"")
            continue

        prediction = preds[qas_id]
        exact_scores[qas_id] = max(compute_exact(a, prediction) for a in gold_answers)
        f1_scores[qas_id] = max(compute_f1(a, prediction) for a in gold_answers)

    return exact_scores, f1_scores",,2
huggingface__transformers__src__transformers__data__metrics__squad_metrics.py__make_eval_dict,make_eval_dict,huggingface/transformers:src/transformers/data/metrics/squad_metrics.py,other,19,0,0,0,0,0,1,0,0,0,0,0,0,0,10,8,4,4.0990888577071016e-10,,,False,,"def make_eval_dict(exact_scores, f1_scores, qid_list=None):
    if not qid_list:
        total = len(exact_scores)
        return collections.OrderedDict(
            [
                (""exact"", 100.0 * sum(exact_scores.values()) / total),
                (""f1"", 100.0 * sum(f1_scores.values()) / total),
                (""total"", total),
            ]
        )
    else:
        total = len(qid_list)
        return collections.OrderedDict(
            [
                (""exact"", 100.0 * sum(exact_scores[k] for k in qid_list) / total),
                (""f1"", 100.0 * sum(f1_scores[k] for k in qid_list) / total),
                (""total"", total),
            ]
        )",,2
